minute_index,app_du,active_container_count,service_cpu_utilization_mean,service_memory_utilization_mean,service_cpu_used_cores_proxy,service_cpu_request_cores_total,mean_container_mem_size,service_sample_count,service_cpu_utilization_weighted,imputed
1634,app_141,206.0,15.819983818770226,99.08252427184466,260.71333333333337,1648.0,3.13,281,15.819983818770227,0
1635,app_141,196.0,16.31675170068027,99.07908163265306,255.84666666666666,1568.0,3.13,263,16.31675170068027,0
1636,app_141,192.0,15.780381944444445,98.59331597222223,242.38666666666668,1536.0,3.1300000000000003,270,15.780381944444445,0
1637,app_141,179.0,15.493482309124769,99.0195530726257,221.86666666666667,1432.0,3.13,240,15.493482309124769,0
1638,app_141,170.0,14.99656862745098,98.49313725490195,203.95333333333335,1360.0,3.1300000000000003,244,14.996568627450982,0
1639,app_141,161.0,15.00776397515528,98.9368530020704,193.3,1288.0,3.13,212,15.00776397515528,0
1640,app_141,158.0,15.150316455696203,99.03744725738396,191.5,1264.0,3.13,223,15.150316455696203,0
1641,app_141,176.0,15.380681818181818,98.52935606060606,216.56,1408.0,3.13,236,15.380681818181818,0
1642,app_141,161.0,14.737577639751553,99.10766045548655,189.82,1288.0,3.13,222,14.737577639751553,0
1643,app_141,176.0,14.704545454545455,98.51704545454545,207.04000000000002,1408.0,3.13,245,14.704545454545457,0
1644,app_141,170.0,14.857843137254903,98.42892156862746,202.06666666666666,1360.0,3.1300000000000003,240,14.857843137254903,0
1645,app_141,174.0,15.151819923371647,98.33381226053639,210.91333333333333,1392.0,3.13,247,15.151819923371647,0
1646,app_141,193.0,14.620466321243523,98.51424870466322,225.74,1544.0,3.1300000000000003,257,14.620466321243523,0
1647,app_141,203.0,14.680213464696225,98.54967159277504,238.40666666666667,1624.0,3.13,258,14.680213464696225,0
1648,app_141,180.0,14.365740740740742,98.52777777777777,206.86666666666667,1440.0,3.13,258,14.365740740740742,0
1649,app_141,184.0,14.959692028985508,99.0588768115942,220.20666666666668,1472.0,3.13,261,14.959692028985508,0
1650,app_141,198.0,15.34553872053872,98.56313131313131,243.07333333333335,1584.0,3.13,265,15.345538720538721,0
1651,app_141,199.0,14.728643216080402,98.99497487437186,234.48000000000002,1592.0,3.13,263,14.728643216080402,0
1652,app_141,214.0,14.445872274143301,98.63940809968847,247.31333333333333,1712.0,3.13,286,14.445872274143301,0
1653,app_141,196.0,14.002125850340136,98.52721088435374,219.55333333333334,1568.0,3.13,255,14.002125850340137,0
1654,app_141,182.0,14.030219780219781,98.52472527472527,204.28,1456.0,3.13,245,14.030219780219781,0
